human,humanLabel,awardEditionLabel,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time
,,91st Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q27894574,Bohemian Rhapsody,http://www.wikidata.org/entity/Q220751,Bryan Singer,2019-02-24T00:00:00Z
,,91st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q48673898,Green Book,http://www.wikidata.org/entity/Q1368300,Peter Farrelly,2019-02-24T00:00:00Z
,,91st Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q58814632,Free Solo,http://www.wikidata.org/entity/Q5362559,Elizabeth Chai Vasarhelyi,2019-02-24T00:00:00Z
,,91st Academy Awards,Academy Award for Best Documentary (Short Subject),http://www.wikidata.org/entity/Q61269467,Period. End of Sentence.,http://www.wikidata.org/entity/Q61269987,Rayka Zehtabchi,2019-02-24T00:00:00Z
,,90th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q34905518,Icarus,http://www.wikidata.org/entity/Q4980101,Bryan Fogel,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q28840386,Phantom Thread,http://www.wikidata.org/entity/Q25132,Paul Thomas Anderson,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q28369564,"I, Tonya",http://www.wikidata.org/entity/Q3696452,Craig Gillespie,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q28127580,A Fantastic Woman,http://www.wikidata.org/entity/Q4250213,Sebastián Lelio,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q27958298,Darkest Hour,http://www.wikidata.org/entity/Q118817,Joe Wright,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q27958298,Darkest Hour,http://www.wikidata.org/entity/Q118817,Joe Wright,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Original Score,http://www.wikidata.org/entity/Q26698156,The Shape of Water,http://www.wikidata.org/entity/Q219124,Guillermo del Toro,2018-03-04T00:00:00Z
,,90th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q25136757,Call Me by Your Name,http://www.wikidata.org/entity/Q1335528,Luca Guadagnino,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q25136235,Get Out,http://www.wikidata.org/entity/Q3371986,Jordan Peele,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q24053277,"Three Billboards Outside Ebbing, Missouri",http://www.wikidata.org/entity/Q372394,Martin McDonagh,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q24053277,"Three Billboards Outside Ebbing, Missouri",http://www.wikidata.org/entity/Q372394,Martin McDonagh,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q21935651,Dunkirk,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q21935651,Dunkirk,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q21935651,Dunkirk,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q21500755,Blade Runner 2049,http://www.wikidata.org/entity/Q548823,Denis Villeneuve,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q21500755,Blade Runner 2049,http://www.wikidata.org/entity/Q548823,Denis Villeneuve,2018-03-04T00:00:00Z
,,90th Academy Awards,Academy Award for Best Documentary (Short Subject),http://www.wikidata.org/entity/Q47487571,Heaven Is a Traffic Jam on the 405,http://www.wikidata.org/entity/Q48910446,Frank Stiefel,2018-03-04T00:00:00Z
,,89th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q25136220,Fences,http://www.wikidata.org/entity/Q42101,Denzel Washington,2017-02-26T00:00:00Z
,,89th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q22344480,The Salesman,http://www.wikidata.org/entity/Q334242,Asghar Farhadi,2017-02-26T00:00:00Z
,,89th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z
,,89th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q21527875,Moonlight,http://www.wikidata.org/entity/Q26821227,Barry Jenkins,2017-02-26T00:00:00Z
